"ProcessId","Name","CommandLine"
"12472","cmd.exe","C:\Windows\system32\cmd.exe /d /s /c """"C:\Program Files\ESET\ESET Security\BrowserPrivacyAndSecurity.exe"" chrome-extension://oombnmpbbhbakfpfgdflaajkhicgfaam/ --parent-window=0"" < \\.\pipe\chrome.nativeMessaging.in.ff4f52e5cfb6dd40 > \\.\pipe\chrome.nativeMessaging.out.ff4f52e5cfb6dd40"
"25380","cmd.exe","C:\Windows\system32\cmd.exe /d /s /c """"C:\Program Files (x86)\ExpressVPN\services\ExpressVPN.BrowserHelper.exe"" chrome-extension://blgcbajigpdfohpgcmbbfnphcgifjopc/ --parent-window=0"" < \\.\pipe\chrome.nativeMessaging.in.9c22ce260463ec09 > \\.\pipe\chrome.nativeMessaging.out.9c22ce260463ec09"
"22188","cmd.exe",
"6752","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
"21192","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
"18224","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
"32932","cmd.exe","C:\Windows\system32\cmd.exe /c """"D:\SRC.PROJECTS\NI.INETER.CADIC\SRC.ANDROID\src.android.ineter.vue\gradlew.bat"" assembleDebug"""
"30024","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
"34592","cmd.exe","""C:\Windows\system32\cmd.exe"" /c ""gradlew assembleDebug"""
"33140","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
"19052","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Users\jose\AppData\Local\JetBrains\Installations\ReSharperPlatformVs17_c43dac99\Bin.ExtSvc\bin\ext-services.bat"" dotnet-external-services -Didea.config.path=""C:\Users\jose\AppData\Local\JetBrains\Transient\ReSharperPlatformVs17\v241_c43dac99\ExternalServices\241.0.20240607.153524\IdeaHomeDirs\runs_1\config"" -Didea.system.path=""C:\Users\jose\AppData\Local\JetBrains\Transient\ReSharperPlatformVs17\v241_c43dac99\ExternalServices\241.0.20240607.153524\IdeaHomeDirs\runs_1\system"" -Djava.awt.headless=true -Didea.builtin.server.disabled=true -Didea.log.path=""C:\Users\jose\AppData\Local\Temp\JetLogs\ExtServices\2026-02-15-13-11-15#7576"" -Dgrazie.dynamic.customJarDirectory=""C:\Users\jose\AppData\Local\JetBrains\Transient\ReSharperPlatformVs17\v241_c43dac99\ExternalServices\grazie"" --externalServicesPort=11755 --parentProcessPid=""7576"" """
"10720","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\jose\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}"""
